id_student,id_assessment,date_submitted,is_banked,score
1,AAA_1,133,0,59.3
1,AAA_2,155,0,72.0
2,CCC_1,127,0,85.1
2,CCC_2,152,0,86.0
2,CCC_3,21,0,77.1
2,CCC_4,139,0,67.3
2,CCC_5,20,0,84.9
3,BBB_1,175,1,72.4
3,BBB_2,180,0,81.2
4,AAA_1,56,1,84.2
4,AAA_2,116,0,84.2
4,AAA_3,63,0,66.3
4,AAA_4,,0,
5,DDD_1,189,1,72.1
5,DDD_2,152,0,80.4
5,DDD_3,11,1,82.9
6,CCC_1,162,0,75.0
6,CCC_2,,1,
6,CCC_3,179,0,79.9
6,CCC_4,56,1,73.2
7,CCC_1,192,0,63.4
7,CCC_2,200,1,72.3
7,CCC_3,110,1,84.5
8,AAA_1,131,0,63.4
8,AAA_2,161,1,35.1
8,AAA_3,37,0,53.2
8,AAA_4,75,0,64.0
9,AAA_1,179,0,95.1
9,AAA_2,23,0,92.0
9,AAA_3,99,0,68.3
9,AAA_4,144,0,82.2
9,AAA_5,194,1,94.6
9,AAA_6,,1,
10,BBB_1,94,0,48.5
10,BBB_2,139,0,69.7
10,BBB_3,69,1,73.1
11,AAA_1,32,1,76.4
11,AAA_2,,1,
11,AAA_3,142,0,71.5
11,AAA_4,180,1,72.2
11,AAA_5,171,0,62.3
12,CCC_1,152,1,51.5
12,CCC_2,109,0,55.5
12,CCC_3,149,1,61.6
13,AAA_1,182,0,50.3
13,AAA_2,84,1,63.5
13,AAA_3,2,0,55.5
14,AAA_1,,1,
14,AAA_2,46,0,70.6
14,AAA_3,86,0,90.9
14,AAA_4,68,1,85.7
15,CCC_1,143,1,89.3
15,CCC_2,48,0,72.1
15,CCC_3,198,1,78.9
15,CCC_4,60,0,65.3
16,DDD_1,95,1,54.4
16,DDD_2,99,1,55.6
16,DDD_3,54,1,47.3
17,BBB_1,106,1,88.3
17,BBB_2,193,1,90.3
17,BBB_3,75,0,89.1
17,BBB_4,19,1,61.7
17,BBB_5,155,0,67.2
17,BBB_6,181,1,61.1
18,CCC_1,130,1,95.0
18,CCC_2,139,1,100
18,CCC_3,64,1,83.3
18,CCC_4,28,0,100
18,CCC_5,170,0,72.7
19,BBB_1,,1,
19,BBB_2,62,1,96.8
19,BBB_3,30,0,78.2
20,DDD_1,197,1,80.3
20,DDD_2,101,0,62.4
20,DDD_3,,1,
21,AAA_1,151,0,95.6
21,AAA_2,67,0,92.8
21,AAA_3,104,0,80.7
21,AAA_4,16,0,69.8
22,BBB_1,179,0,82.5
22,BBB_2,199,1,67.8
23,CCC_1,110,0,92.2
23,CCC_2,159,1,62.9
23,CCC_3,199,0,90.0
23,CCC_4,103,0,86.8
23,CCC_5,169,1,55.9
23,CCC_6,115,1,89.9
24,DDD_1,66,1,75.7
24,DDD_2,36,0,72.8
24,DDD_3,155,1,79.1
24,DDD_4,58,0,86.2
24,DDD_5,144,0,49.9
25,DDD_1,17,1,84.0
25,DDD_2,155,0,78.3
25,DDD_3,131,1,77.6
25,DDD_4,54,1,98.5
