id_student,code_module,code_presentation,gender,region,highest_education,age_band,num_of_prev_attempts,studied_credits,final_result
1,AAA,2024J,F,South,HE Qualification,35-55,0,60,Withdrawn
2,CCC,2024B,F,Scotland,Post Graduate Qualification,35-55,2,60,Pass
3,BBB,2024J,F,Wales,A Level or Equivalent,0-35,0,120,Pass
4,AAA,2024J,M,South,A Level or Equivalent,55<=,3,120,Pass
5,DDD,2024B,F,West,Post Graduate Qualification,35-55,1,60,Fail
6,CCC,2024B,F,North,HE Qualification,35-55,0,30,Withdrawn
7,CCC,2024B,M,North,A Level or Equivalent,55<=,0,90,Pass
8,AAA,2024J,M,North,A Level or Equivalent,35-55,1,60,Fail
9,AAA,2024J,M,East,Lower Than A Level,55<=,3,60,Pass
10,BBB,2024J,M,Wales,HE Qualification,35-55,0,120,Fail
11,AAA,2024J,F,Scotland,Post Graduate Qualification,55<=,1,120,Pass
12,CCC,2024B,M,North,HE Qualification,55<=,1,120,Withdrawn
13,AAA,2024J,F,North,HE Qualification,0-35,1,120,Withdrawn
14,AAA,2024J,F,Wales,A Level or Equivalent,35-55,0,90,Pass
15,CCC,2024B,M,North,HE Qualification,55<=,0,90,Withdrawn
16,DDD,2024B,M,Wales,Lower Than A Level,55<=,0,30,Withdrawn
17,BBB,2024J,M,South,HE Qualification,35-55,0,90,Withdrawn
18,CCC,2024B,F,East,A Level or Equivalent,55<=,2,60,Pass
19,BBB,2024J,M,Scotland,A Level or Equivalent,0-35,1,60,Distinction
20,DDD,2024B,F,South,Post Graduate Qualification,55<=,1,60,Withdrawn
21,AAA,2024J,F,East,HE Qualification,0-35,0,60,Pass
22,BBB,2024J,M,West,Lower Than A Level,0-35,1,120,Distinction
23,CCC,2024B,M,Scotland,Post Graduate Qualification,55<=,1,60,Pass
24,DDD,2024B,M,Central,Post Graduate Qualification,55<=,0,90,Fail
25,DDD,2024B,F,Scotland,HE Qualification,55<=,0,90,Distinction
