id_student,code_module,code_presentation,id_site,date,sum_click,activity_type
1,AAA,2024J,482,179,17,subpage
1,AAA,2024J,431,6,8,homepage
1,AAA,2024J,376,20,12,oucontent
1,AAA,2024J,441,114,17,homepage
1,AAA,2024J,273,174,12,subpage
1,AAA,2024J,485,147,17,oucontent
1,AAA,2024J,82,65,4,oucontent
1,AAA,2024J,325,132,20,subpage
1,AAA,2024J,477,185,5,quiz
1,AAA,2024J,104,189,9,homepage
1,AAA,2024J,152,72,13,quiz
1,AAA,2024J,244,198,15,forumng
1,AAA,2024J,370,4,10,homepage
1,AAA,2024J,129,-11,18,url
1,AAA,2024J,473,23,20,resource
1,AAA,2024J,387,-15,14,oucontent
1,AAA,2024J,247,6,6,subpage
1,AAA,2024J,403,70,6,quiz
1,AAA,2024J,303,70,7,subpage
1,AAA,2024J,180,183,3,subpage
1,AAA,2024J,72,40,13,resource
1,AAA,2024J,379,155,19,oucontent
1,AAA,2024J,228,22,5,url
1,AAA,2024J,168,164,1,resource
1,AAA,2024J,160,103,17,resource
1,AAA,2024J,322,167,20,page
1,AAA,2024J,339,29,15,url
1,AAA,2024J,64,180,18,page
1,AAA,2024J,37,9,11,url
1,AAA,2024J,196,-20,9,resource
1,AAA,2024J,239,130,14,oucontent
1,AAA,2024J,364,194,16,url
1,AAA,2024J,268,27,4,resource
1,AAA,2024J,309,157,20,forumng
1,AAA,2024J,446,31,16,quiz
1,AAA,2024J,30,77,4,url
1,AAA,2024J,371,185,9,url
1,AAA,2024J,261,133,11,quiz
1,AAA,2024J,429,140,9,forumng
1,AAA,2024J,7,-9,4,page
1,AAA,2024J,300,32,16,subpage
1,AAA,2024J,223,121,9,resource
1,AAA,2024J,424,169,16,quiz
1,AAA,2024J,266,125,13,homepage
1,AAA,2024J,56,124,19,resource
1,AAA,2024J,49,117,4,subpage
1,AAA,2024J,298,62,20,quiz
1,AAA,2024J,202,178,2,forumng
1,AAA,2024J,404,135,15,page
1,AAA,2024J,443,116,17,homepage
1,AAA,2024J,417,72,14,homepage
1,AAA,2024J,291,25,6,homepage
1,AAA,2024J,485,131,11,resource
1,AAA,2024J,472,44,14,homepage
1,AAA,2024J,234,156,9,forumng
1,AAA,2024J,350,179,12,forumng
1,AAA,2024J,142,33,15,homepage
1,AAA,2024J,235,53,9,oucontent
1,AAA,2024J,286,23,18,forumng
1,AAA,2024J,206,159,12,oucontent
1,AAA,2024J,256,186,3,forumng
1,AAA,2024J,316,60,18,subpage
1,AAA,2024J,425,51,10,resource
1,AAA,2024J,47,154,13,forumng
1,AAA,2024J,255,129,6,quiz
1,AAA,2024J,136,21,16,forumng
1,AAA,2024J,413,56,15,forumng
1,AAA,2024J,82,163,6,forumng
1,AAA,2024J,58,-26,7,url
1,AAA,2024J,359,99,18,url
1,AAA,2024J,287,163,18,oucontent
1,AAA,2024J,317,71,3,subpage
1,AAA,2024J,47,-7,20,quiz
1,AAA,2024J,135,188,5,forumng
1,AAA,2024J,182,106,13,oucontent
1,AAA,2024J,54,68,10,resource
1,AAA,2024J,116,52,15,homepage
1,AAA,2024J,281,32,5,url
1,AAA,2024J,254,-24,8,subpage
1,AAA,2024J,449,32,8,page
1,AAA,2024J,416,135,7,oucontent
1,AAA,2024J,152,-27,8,homepage
1,AAA,2024J,314,189,16,page
1,AAA,2024J,285,76,18,subpage
1,AAA,2024J,96,75,17,quiz
1,AAA,2024J,295,130,13,url
1,AAA,2024J,408,150,12,url
1,AAA,2024J,190,80,12,subpage
1,AAA,2024J,277,51,12,resource
1,AAA,2024J,69,147,11,subpage
1,AAA,2024J,276,173,19,oucontent
1,AAA,2024J,470,-6,17,page
1,AAA,2024J,161,107,4,subpage
1,AAA,2024J,179,154,18,subpage
1,AAA,2024J,138,89,19,homepage
1,AAA,2024J,317,87,15,page
1,AAA,2024J,224,121,3,oucontent
1,AAA,2024J,287,-25,15,homepage
1,AAA,2024J,178,199,16,oucontent
1,AAA,2024J,350,-14,12,resource
1,AAA,2024J,142,154,19,url
1,AAA,2024J,373,199,1,page
1,AAA,2024J,361,80,5,quiz
1,AAA,2024J,339,25,15,url
1,AAA,2024J,357,107,10,forumng
1,AAA,2024J,292,29,17,quiz
1,AAA,2024J,393,6,18,forumng
1,AAA,2024J,4,190,20,homepage
1,AAA,2024J,387,152,12,resource
1,AAA,2024J,37,168,20,resource
1,AAA,2024J,212,105,6,subpage
1,AAA,2024J,308,33,6,oucontent
1,AAA,2024J,333,-23,16,resource
1,AAA,2024J,46,54,4,quiz
1,AAA,2024J,359,116,13,quiz
1,AAA,2024J,357,67,16,oucontent
1,AAA,2024J,176,186,6,resource
1,AAA,2024J,182,49,6,quiz
1,AAA,2024J,130,195,16,resource
1,AAA,2024J,134,17,13,subpage
1,AAA,2024J,180,28,3,forumng
1,AAA,2024J,385,85,4,url
1,AAA,2024J,451,-25,20,homepage
1,AAA,2024J,31,112,12,resource
1,AAA,2024J,1,13,17,homepage
1,AAA,2024J,168,-29,13,url
1,AAA,2024J,410,-23,19,forumng
1,AAA,2024J,36,189,6,subpage
1,AAA,2024J,318,132,16,oucontent
1,AAA,2024J,112,107,12,resource
1,AAA,2024J,350,193,5,forumng
1,AAA,2024J,91,116,15,oucontent
1,AAA,2024J,77,99,15,homepage
1,AAA,2024J,20,129,18,resource
1,AAA,2024J,479,176,10,url
2,CCC,2024B,123,6,16,subpage
2,CCC,2024B,207,173,2,forumng
2,CCC,2024B,470,-15,16,resource
2,CCC,2024B,267,187,3,forumng
2,CCC,2024B,289,104,19,quiz
2,CCC,2024B,280,163,7,url
2,CCC,2024B,70,52,15,subpage
2,CCC,2024B,484,44,14,quiz
2,CCC,2024B,194,81,3,page
2,CCC,2024B,252,-24,4,forumng
2,CCC,2024B,248,113,20,quiz
2,CCC,2024B,255,48,10,homepage
2,CCC,2024B,426,105,2,subpage
2,CCC,2024B,158,-8,19,oucontent
2,CCC,2024B,161,134,2,homepage
2,CCC,2024B,495,-18,10,quiz
2,CCC,2024B,181,18,18,homepage
2,CCC,2024B,423,180,14,oucontent
2,CCC,2024B,190,100,2,subpage
2,CCC,2024B,235,-5,6,subpage
2,CCC,2024B,164,152,3,subpage
2,CCC,2024B,106,96,19,homepage
2,CCC,2024B,473,-19,13,subpage
2,CCC,2024B,353,200,4,url
2,CCC,2024B,464,-29,8,forumng
2,CCC,2024B,200,15,8,forumng
2,CCC,2024B,206,184,2,oucontent
2,CCC,2024B,307,6,8,url
2,CCC,2024B,473,195,14,url
2,CCC,2024B,482,22,9,quiz
2,CCC,2024B,6,146,14,quiz
2,CCC,2024B,143,66,7,page
2,CCC,2024B,308,34,1,quiz
2,CCC,2024B,357,-20,15,oucontent
2,CCC,2024B,354,139,8,resource
2,CCC,2024B,59,133,4,oucontent
2,CCC,2024B,406,200,16,resource
2,CCC,2024B,275,16,11,oucontent
2,CCC,2024B,132,159,13,url
2,CCC,2024B,147,107,10,url
2,CCC,2024B,390,-3,4,quiz
2,CCC,2024B,454,180,7,resource
2,CCC,2024B,434,112,16,subpage
2,CCC,2024B,266,2,2,page
2,CCC,2024B,56,92,4,subpage
2,CCC,2024B,427,-21,13,oucontent
2,CCC,2024B,391,-9,3,subpage
2,CCC,2024B,316,81,12,page
2,CCC,2024B,74,159,15,homepage
2,CCC,2024B,479,139,17,subpage
2,CCC,2024B,108,166,11,homepage
2,CCC,2024B,8,115,5,forumng
2,CCC,2024B,487,190,9,oucontent
2,CCC,2024B,237,59,7,homepage
2,CCC,2024B,195,70,5,url
2,CCC,2024B,33,99,8,oucontent
2,CCC,2024B,100,130,11,page
2,CCC,2024B,447,-24,15,resource
2,CCC,2024B,126,185,20,url
2,CCC,2024B,83,112,5,forumng
2,CCC,2024B,58,-16,3,quiz
2,CCC,2024B,274,102,1,oucontent
2,CCC,2024B,478,155,11,forumng
2,CCC,2024B,74,-21,4,subpage
2,CCC,2024B,196,-29,1,homepage
2,CCC,2024B,199,178,19,resource
2,CCC,2024B,115,189,2,resource
2,CCC,2024B,333,-25,16,quiz
2,CCC,2024B,352,42,20,quiz
2,CCC,2024B,467,85,8,page
2,CCC,2024B,129,126,12,page
2,CCC,2024B,471,92,5,page
2,CCC,2024B,451,107,12,subpage
2,CCC,2024B,147,6,6,quiz
2,CCC,2024B,452,35,6,forumng
2,CCC,2024B,11,159,14,url
2,CCC,2024B,22,6,15,quiz
