student_id,gender,nationality,grade_level,topic,raised_hand,visited_resources,announcements_view,discussion,parent_answering_survey,parent_school_satisfaction,student_absence_days,class_level
STU0001,F,US,G-07,Math,25,115,30,50,Yes,Bad,Above-7,H
STU0002,F,India,G-09,Science,70,21,17,10,No,N/A,Above-7,M
STU0003,F,China,G-04,English,65,86,54,57,No,N/A,Above-7,H
STU0004,F,Brazil,G-11,Science,34,97,3,22,No,N/A,Under-7,M
STU0005,F,UK,G-09,IT,37,128,65,69,Yes,Bad,Under-7,H
STU0006,M,UK,G-05,Science,4,139,25,42,Yes,Bad,Above-7,H
STU0007,F,Nigeria,G-07,Biology,77,35,96,69,No,N/A,Under-7,H
STU0008,F,Nigeria,G-09,Chemistry,51,103,74,1,No,N/A,Under-7,H
STU0009,F,China,G-07,Biology,95,53,60,29,No,N/A,Above-7,H
STU0010,F,UK,G-09,Chemistry,24,109,98,53,Yes,Bad,Above-7,H
STU0011,M,Brazil,G-06,History,16,78,94,1,No,N/A,Above-7,M
STU0012,F,China,G-10,English,87,103,97,68,No,N/A,Above-7,H
STU0013,M,US,G-06,Math,42,145,80,77,No,N/A,Above-7,H
STU0014,M,Germany,G-05,History,49,48,60,13,No,N/A,Above-7,M
STU0015,F,UK,G-06,IT,86,141,22,4,No,N/A,Under-7,H
STU0016,M,China,G-05,English,36,52,29,37,Yes,Bad,Under-7,M
STU0017,F,US,G-06,Science,52,100,20,14,Yes,Bad,Above-7,M
STU0018,M,Germany,G-07,Math,26,79,55,60,Yes,Bad,Under-7,H
STU0019,F,Nigeria,G-07,IT,18,114,8,51,Yes,Bad,Above-7,M
STU0020,F,Japan,G-04,Biology,11,73,82,58,No,N/A,Above-7,H
STU0021,F,India,G-10,Math,22,110,58,49,Yes,Good,Above-7,H
STU0022,M,China,G-06,Science,80,137,37,8,Yes,Bad,Above-7,H
STU0023,M,Brazil,G-05,Chemistry,13,129,98,41,No,N/A,Above-7,H
STU0024,M,Nigeria,G-07,History,5,118,3,9,No,N/A,Above-7,M
STU0025,F,Germany,G-07,English,4,2,32,14,Yes,Bad,Above-7,L
STU0026,F,Japan,G-05,IT,70,62,91,56,Yes,Bad,Above-7,H
STU0027,M,India,G-04,History,12,45,37,15,No,N/A,Under-7,M
STU0028,M,US,G-08,Math,56,91,22,27,Yes,Good,Above-7,M
STU0029,M,UK,G-10,Biology,39,113,6,76,Yes,Good,Above-7,H
STU0030,M,China,G-09,Math,25,23,2,53,Yes,Good,Above-7,M
STU0031,M,UK,G-07,IT,85,42,92,21,Yes,Bad,Under-7,H
STU0032,F,Brazil,G-12,Biology,24,53,69,50,No,N/A,Under-7,M
STU0033,M,China,G-05,Science,41,44,1,51,No,N/A,Under-7,M
STU0034,F,China,G-11,Math,8,71,83,79,No,N/A,Under-7,H
STU0035,M,China,G-10,Science,98,127,13,68,Yes,Bad,Under-7,H
STU0036,F,Germany,G-06,Science,22,81,85,61,Yes,Bad,Under-7,H
STU0037,F,Germany,G-12,Biology,94,59,64,75,Yes,Good,Under-7,H
STU0038,M,Nigeria,G-07,Biology,54,62,79,10,Yes,Good,Above-7,H
STU0039,F,Nigeria,G-07,Math,48,52,82,4,Yes,Bad,Above-7,M
STU0040,M,Nigeria,G-09,Biology,100,10,66,53,No,N/A,Under-7,H
STU0041,M,Brazil,G-09,Math,26,138,6,31,Yes,Bad,Above-7,H
STU0042,M,Japan,G-04,IT,62,17,24,6,Yes,Good,Under-7,M
STU0043,M,India,G-12,Chemistry,26,60,64,10,No,N/A,Above-7,M
STU0044,F,India,G-07,Math,54,45,77,31,No,N/A,Above-7,H
STU0045,F,China,G-08,Chemistry,100,123,10,46,No,N/A,Above-7,H
STU0046,M,Japan,G-11,English,64,110,97,19,No,N/A,Under-7,H
STU0047,F,Germany,G-05,Chemistry,38,137,19,70,Yes,Bad,Above-7,H
STU0048,F,Nigeria,G-11,Science,48,143,77,61,Yes,Bad,Under-7,H
STU0049,F,China,G-06,Math,0,3,64,47,No,N/A,Above-7,M
STU0050,F,Germany,G-09,English,62,78,82,75,Yes,Bad,Under-7,H
STU0051,M,Germany,G-06,Math,97,111,32,44,No,N/A,Above-7,H
STU0052,M,Germany,G-10,Biology,31,62,61,4,No,N/A,Under-7,M
STU0053,M,Nigeria,G-11,Biology,18,65,31,77,Yes,Good,Under-7,M
STU0054,M,Germany,G-10,Biology,75,20,66,24,No,N/A,Under-7,M
STU0055,F,Nigeria,G-08,History,68,97,75,39,No,N/A,Under-7,H
STU0056,M,Brazil,G-06,Science,95,53,95,50,No,N/A,Under-7,H
STU0057,M,Japan,G-04,IT,8,106,67,53,No,N/A,Above-7,H
STU0058,M,India,G-09,Math,90,34,25,62,Yes,Good,Above-7,H
STU0059,M,India,G-07,IT,95,46,97,24,No,N/A,Above-7,H
STU0060,F,UK,G-06,IT,37,21,48,15,No,N/A,Under-7,M
STU0061,F,US,G-07,English,62,25,1,7,No,N/A,Under-7,L
STU0062,M,UK,G-07,History,0,96,77,66,No,N/A,Above-7,H
STU0063,F,Brazil,G-10,Science,47,87,40,30,No,N/A,Above-7,H
STU0064,F,US,G-09,Chemistry,42,25,0,58,No,N/A,Under-7,M
STU0065,M,UK,G-12,Science,89,63,47,57,No,N/A,Above-7,H
STU0066,M,US,G-09,IT,81,92,5,41,No,N/A,Under-7,H
STU0067,F,Germany,G-05,Science,54,121,84,12,No,N/A,Above-7,H
STU0068,M,India,G-12,History,100,129,4,16,No,N/A,Under-7,H
STU0069,F,Japan,G-06,English,14,123,84,69,Yes,Good,Under-7,H
STU0070,M,UK,G-05,English,91,7,20,41,No,N/A,Above-7,M
STU0071,M,Nigeria,G-11,Biology,15,34,68,62,Yes,Bad,Under-7,M
STU0072,M,Brazil,G-10,Biology,95,97,83,71,No,N/A,Under-7,H
STU0073,M,Nigeria,G-05,Science,11,28,11,43,Yes,Good,Above-7,L
STU0074,M,Brazil,G-10,History,94,0,39,7,Yes,Bad,Above-7,M
STU0075,F,Brazil,G-06,History,84,56,13,50,Yes,Bad,Above-7,H
