team_id,team_name,member_id,week,hours_logged,commits,meetings_attended,tasks_completed,peer_rating,contribution_pattern
1,Team_01,T01M1,1,7.2,5,2,2,4.1,high
1,Team_01,T01M1,2,9.7,5,1,3,4.0,high
1,Team_01,T01M1,3,7.0,7,0,4,3.6,high
1,Team_01,T01M1,4,8.7,9,0,4,4.3,high
1,Team_01,T01M1,5,9.3,4,0,5,4.3,high
1,Team_01,T01M1,6,7.2,5,1,2,3.5,high
1,Team_01,T01M1,7,6.5,8,2,3,4.1,high
1,Team_01,T01M1,8,9.0,9,1,3,4.4,high
1,Team_01,T01M1,9,9.4,10,1,5,4.1,high
1,Team_01,T01M1,10,6.4,7,1,2,4.1,high
1,Team_01,T01M1,11,9.6,8,1,5,4.7,high
1,Team_01,T01M1,12,6.8,5,2,3,4.1,high
1,Team_01,T01M1,13,8.8,5,2,3,4.3,high
1,Team_01,T01M1,14,7.1,6,1,4,4.1,high
1,Team_01,T01M2,1,6.4,3,0,3,3.7,medium
1,Team_01,T01M2,2,3.6,5,2,2,3.0,medium
1,Team_01,T01M2,3,5.9,5,2,2,3.3,medium
1,Team_01,T01M2,4,3.9,4,2,1,3.5,medium
1,Team_01,T01M2,5,5.0,5,1,1,4.0,medium
1,Team_01,T01M2,6,3.9,3,0,0,2.9,medium
1,Team_01,T01M2,7,3.9,4,2,0,3.2,medium
1,Team_01,T01M2,8,5.7,5,1,3,4.0,medium
1,Team_01,T01M2,9,3.3,4,2,2,3.4,medium
1,Team_01,T01M2,10,6.4,5,1,3,3.4,medium
1,Team_01,T01M2,11,3.3,4,2,1,3.6,medium
1,Team_01,T01M2,12,6.3,6,0,4,3.6,medium
1,Team_01,T01M2,13,5.9,6,0,2,3.9,medium
1,Team_01,T01M2,14,5.5,6,2,1,3.7,medium
1,Team_01,T01M3,1,3.9,5,1,0,2.8,medium
1,Team_01,T01M3,2,6.0,8,0,3,3.7,medium
1,Team_01,T01M3,3,2.7,3,0,0,3.2,medium
1,Team_01,T01M3,4,6.2,4,2,4,3.7,medium
1,Team_01,T01M3,5,3.3,3,2,2,2.9,medium
1,Team_01,T01M3,6,3.7,5,2,1,3.2,medium
1,Team_01,T01M3,7,4.5,2,0,1,3.2,medium
1,Team_01,T01M3,8,4.8,3,0,1,3.0,medium
1,Team_01,T01M3,9,5.0,3,0,2,3.1,medium
1,Team_01,T01M3,10,3.4,3,0,2,2.8,medium
1,Team_01,T01M3,11,6.2,6,1,2,4.0,medium
1,Team_01,T01M3,12,5.7,3,0,3,3.6,medium
1,Team_01,T01M3,13,4.1,4,2,1,3.5,medium
1,Team_01,T01M3,14,6.4,3,1,4,3.6,medium
1,Team_01,T01M4,1,3.8,3,1,0,3.0,medium
1,Team_01,T01M4,2,4.0,5,1,2,2.9,medium
1,Team_01,T01M4,3,5.6,5,0,1,4.0,medium
1,Team_01,T01M4,4,6.4,4,1,3,3.5,medium
1,Team_01,T01M4,5,4.6,2,1,1,3.9,medium
1,Team_01,T01M4,6,4.1,5,1,2,3.2,medium
1,Team_01,T01M4,7,6.8,10,2,4,4.1,medium
1,Team_01,T01M4,8,3.6,2,0,2,3.5,medium
1,Team_01,T01M4,9,3.2,2,0,2,3.1,medium
1,Team_01,T01M4,10,6.7,6,0,4,3.4,medium
1,Team_01,T01M4,11,3.7,4,2,0,3.2,medium
1,Team_01,T01M4,12,6.8,7,2,4,3.4,medium
1,Team_01,T01M4,13,3.3,3,2,2,3.0,medium
1,Team_01,T01M4,14,4.0,4,1,1,3.1,medium
1,Team_01,T01M5,1,2.1,3,0,0,2.9,low
1,Team_01,T01M5,2,4.3,6,0,3,3.1,low
1,Team_01,T01M5,3,1.4,1,0,0,2.6,low
1,Team_01,T01M5,4,0.9,1,2,0,2.8,low
1,Team_01,T01M5,5,4.2,4,0,3,3.7,low
1,Team_01,T01M5,6,1.5,1,0,0,2.4,low
1,Team_01,T01M5,7,0.7,0,1,0,2.7,low
1,Team_01,T01M5,8,3.2,2,2,1,3.1,low
1,Team_01,T01M5,9,1.3,1,0,0,2.9,low
1,Team_01,T01M5,10,3.6,1,1,0,3.4,low
1,Team_01,T01M5,11,1.3,1,2,1,2.7,low
1,Team_01,T01M5,12,0.3,0,2,0,2.6,low
1,Team_01,T01M5,13,3.6,3,0,1,2.9,low
1,Team_01,T01M5,14,1.5,2,0,0,2.5,low
2,Team_02,T02M1,1,9.7,13,2,5,4.1,high
2,Team_02,T02M1,2,11.1,15,0,5,4.3,high
2,Team_02,T02M1,3,10.4,8,1,6,4.9,high
2,Team_02,T02M1,4,10.7,8,2,4,4.5,high
2,Team_02,T02M1,5,7.6,7,0,3,3.9,high
2,Team_02,T02M1,6,10.7,14,0,4,4.8,high
2,Team_02,T02M1,7,9.0,7,0,4,4.2,high
2,Team_02,T02M1,8,9.5,11,2,4,4.8,high
2,Team_02,T02M1,9,7.9,11,0,4,4.5,high
2,Team_02,T02M1,10,8.5,5,1,4,4.4,high
2,Team_02,T02M1,11,8.7,9,2,3,4.1,high
2,Team_02,T02M1,12,9.7,7,2,4,3.9,high
2,Team_02,T02M1,13,11.1,11,2,6,5.0,high
2,Team_02,T02M1,14,8.2,7,2,4,4.3,high
2,Team_02,T02M2,1,6.1,6,2,3,3.5,medium
2,Team_02,T02M2,2,5.3,5,0,2,3.7,medium
2,Team_02,T02M2,3,4.0,5,0,3,3.4,medium
2,Team_02,T02M2,4,4.1,5,1,2,3.0,medium
2,Team_02,T02M2,5,5.6,6,1,2,3.6,medium
2,Team_02,T02M2,6,5.2,5,2,1,3.7,medium
2,Team_02,T02M2,7,3.6,4,2,1,2.8,medium
2,Team_02,T02M2,8,6.3,4,1,2,4.1,medium
2,Team_02,T02M2,9,3.1,1,1,2,3.5,medium
2,Team_02,T02M2,10,2.8,2,2,2,2.8,medium
2,Team_02,T02M2,11,5.3,5,0,1,3.7,medium
2,Team_02,T02M2,12,2.5,3,0,1,2.7,medium
2,Team_02,T02M2,13,5.7,6,1,1,3.7,medium
2,Team_02,T02M2,14,6.2,3,0,3,3.9,medium
2,Team_02,T02M3,1,8.2,11,2,5,4.5,medium
2,Team_02,T02M3,2,6.1,8,1,2,4.0,medium
2,Team_02,T02M3,3,6.3,4,0,4,3.5,medium
2,Team_02,T02M3,4,7.5,7,0,3,3.9,medium
2,Team_02,T02M3,5,7.2,5,1,3,4.3,medium
2,Team_02,T02M3,6,4.7,3,1,3,3.1,medium
2,Team_02,T02M3,7,5.2,4,1,3,3.5,medium
2,Team_02,T02M3,8,4.6,6,1,3,3.9,medium
2,Team_02,T02M3,9,4.5,6,2,2,3.4,medium
2,Team_02,T02M3,10,8.2,6,1,4,4.2,medium
2,Team_02,T02M3,11,7.3,9,0,3,3.7,medium
2,Team_02,T02M3,12,6.1,3,1,4,3.9,medium
2,Team_02,T02M3,13,6.0,3,1,1,4.2,medium
2,Team_02,T02M3,14,6.5,9,2,4,4.0,medium
3,Team_03,T03M1,1,8.4,4,1,4,3.9,high
3,Team_03,T03M1,2,7.9,9,1,3,4.3,high
3,Team_03,T03M1,3,9.9,7,0,4,4.0,high
3,Team_03,T03M1,4,8.7,13,1,3,4.4,high
3,Team_03,T03M1,5,9.7,11,0,3,4.1,high
3,Team_03,T03M1,6,6.6,4,0,3,4.0,high
3,Team_03,T03M1,7,8.8,6,2,4,4.5,high
3,Team_03,T03M1,8,7.2,7,2,4,3.6,high
3,Team_03,T03M1,9,9.8,14,0,5,4.0,high
3,Team_03,T03M1,10,7.8,9,1,3,4.5,high
3,Team_03,T03M1,11,7.3,8,2,2,3.6,high
3,Team_03,T03M1,12,9.6,13,2,3,4.7,high
3,Team_03,T03M1,13,8.8,4,2,4,4.4,high
3,Team_03,T03M1,14,6.8,7,0,3,4.2,high
3,Team_03,T03M2,1,3.5,4,2,0,3.1,low
3,Team_03,T03M2,2,3.9,5,1,2,3.6,low
3,Team_03,T03M2,3,3.1,3,1,2,3.2,low
3,Team_03,T03M2,4,2.2,1,0,1,3.3,low
3,Team_03,T03M2,5,1.9,1,2,1,2.8,low
3,Team_03,T03M2,6,1.0,1,0,0,2.4,low
3,Team_03,T03M2,7,4.1,3,2,3,3.7,low
3,Team_03,T03M2,8,3.1,3,0,0,2.9,low
3,Team_03,T03M2,9,2.5,2,0,2,3.0,low
3,Team_03,T03M2,10,3.8,3,0,0,3.0,low
3,Team_03,T03M2,11,2.5,1,2,2,2.9,low
3,Team_03,T03M2,12,3.1,2,2,2,3.0,low
3,Team_03,T03M2,13,3.7,2,1,0,2.9,low
3,Team_03,T03M2,14,1.7,1,2,1,2.5,low
3,Team_03,T03M3,1,6.8,10,2,4,3.7,medium
3,Team_03,T03M3,2,4.3,3,0,2,3.0,medium
3,Team_03,T03M3,3,4.0,4,1,0,3.8,medium
3,Team_03,T03M3,4,6.2,7,0,4,4.1,medium
3,Team_03,T03M3,5,5.9,8,2,2,3.6,medium
3,Team_03,T03M3,6,5.7,3,0,2,4.1,medium
3,Team_03,T03M3,7,5.8,7,1,2,3.2,medium
3,Team_03,T03M3,8,6.5,3,0,4,4.2,medium
3,Team_03,T03M3,9,4.3,3,2,2,3.5,medium
3,Team_03,T03M3,10,7.1,5,2,3,3.9,medium
3,Team_03,T03M3,11,5.7,7,1,2,3.7,medium
3,Team_03,T03M3,12,4.2,6,0,1,3.5,medium
3,Team_03,T03M3,13,5.0,2,0,1,3.6,medium
3,Team_03,T03M3,14,4.6,4,2,3,3.4,medium
4,Team_04,T04M1,1,8.3,11,0,5,3.9,high
4,Team_04,T04M1,2,8.2,10,2,5,4.4,high
4,Team_04,T04M1,3,7.9,4,0,4,3.7,high
4,Team_04,T04M1,4,8.2,5,0,3,4.4,high
4,Team_04,T04M1,5,9.5,12,1,4,4.0,high
4,Team_04,T04M1,6,9.9,11,1,5,4.5,high
4,Team_04,T04M1,7,8.9,9,1,5,4.1,high
4,Team_04,T04M1,8,8.2,4,2,5,4.2,high
4,Team_04,T04M1,9,7.2,9,1,4,3.5,high
4,Team_04,T04M1,10,10.2,9,2,5,5.0,high
