team_id,team_name,project_type,team_size,start_date,end_date
1,Team_01,Web App,5,2024-09-01,2024-12-15
2,Team_02,Web App,3,2024-09-01,2024-12-15
3,Team_03,API Development,3,2024-09-01,2024-12-15
4,Team_04,Mobile App,3,2024-09-01,2024-12-15
5,Team_05,API Development,5,2024-09-01,2024-12-15
6,Team_06,Web App,5,2024-09-01,2024-12-15
7,Team_07,Data Analysis,4,2024-09-01,2024-12-15
8,Team_08,Game Development,4,2024-09-01,2024-12-15
9,Team_09,Game Development,3,2024-09-01,2024-12-15
10,Team_10,API Development,4,2024-09-01,2024-12-15
11,Team_11,API Development,4,2024-09-01,2024-12-15
12,Team_12,Data Analysis,4,2024-09-01,2024-12-15
13,Team_13,API Development,5,2024-09-01,2024-12-15
14,Team_14,Game Development,3,2024-09-01,2024-12-15
15,Team_15,API Development,4,2024-09-01,2024-12-15
16,Team_16,Game Development,3,2024-09-01,2024-12-15
17,Team_17,Web App,5,2024-09-01,2024-12-15
18,Team_18,Game Development,3,2024-09-01,2024-12-15
19,Team_19,API Development,5,2024-09-01,2024-12-15
20,Team_20,Mobile App,3,2024-09-01,2024-12-15
21,Team_21,Game Development,3,2024-09-01,2024-12-15
22,Team_22,API Development,4,2024-09-01,2024-12-15
23,Team_23,Web App,5,2024-09-01,2024-12-15
24,Team_24,Mobile App,5,2024-09-01,2024-12-15
25,Team_25,API Development,5,2024-09-01,2024-12-15
26,Team_26,API Development,5,2024-09-01,2024-12-15
27,Team_27,Game Development,4,2024-09-01,2024-12-15
28,Team_28,Data Analysis,5,2024-09-01,2024-12-15
29,Team_29,Data Analysis,3,2024-09-01,2024-12-15
30,Team_30,Game Development,3,2024-09-01,2024-12-15
